id,date,title,author,description
1,1733,Memoirs of the Twentieth Century,Samuel Madden,A guardian angel travels to 1728 with letters from 1997 and '98
2,1838,Missing One's Coach: An Anachronism,Anonymous Dublin University Magazine,Traveler picked up by a stagecoach but is suddenly transported back over a thousand years.
3,1843,A Christmas Carol,Charles Dickens,"Ghosts accompanies Scrooge into the past to show his life, then the future to show the consequences of his heartlessness if he does not change his ways."
4,1861,Paris Before Men,Pierre Boitard,"Magic of a ""lame demon"" allows main character to interact with prehistoric life."
5,1881,The Clock That Went Backward,Edward Page Mitchell,A clock that has the power to take people back in time.
6,1887,El Anacronopete,Enrique Gaspar y Rimbau,"First to introduce a time machine, originally written as a zarzuela in 1881, released as a novel in 1887."
7,1887,Looking Backward: 2000-1887,Edward Bellamy,"Julian West towards the end of the 19th century, falls into a deep, hypnosis-induced sleep and wakes up 113 years later."
8,1888,A Dream of John Ball,William Morris,Describes a time travel encounter between the medieval and modern worlds.
9,1888,"""The Chronic Argonauts""",H. G. Wells,"Inventor takes another with him in a time machine, before deciding to leave to a time where he will fit in more."
10,1889,A Connecticut Yankee in King Arthur's Court,Mark Twain,19th century citizen goes to King Arthur's time (528 AD).
11,1891,Tourmalin's Time Cheques,Thomas A. Gutherie,Time travel and the paradoxes that can result from it.
12,1892,Golf in the Year 2000,J. McCullough,A man falls asleep in 1892 and wakes up in the year 2000. Noted for its accurate predictions of the year 2000.
13,1895,The Time Machine,H. G. Wells,"Inventor creates a time machine and travels to the year 802,701 A.D., where he finds humanity have evolved into two races, Morlocks and Eloi."
14,1919,Enoch Soames,Max Beerbohm,Enoch is transported 100 years into the future (1997) to see if he became a great writer or not – a Faustian-like pact with the Devil is involved.
15,1928,Armageddon 2419 A.D.,Philip Francis Nowlan,Anthony Rogers is transported to the year 2419 by a strange cave gas. Later became the comic strip Buck Rogers.
16,1936,Burnt Norton,T. S. Eliot,"Begins with ""Time present and time past// Are both perhaps present in time future..."""
17,1939,A Traveller in Time,Alison Uttley,Child goes back into Derbyshire of the Babbington Plot and Mary Queen Of Scots.
18,1941,By His Bootstraps,Robert A. Heinlein,Circular paradox-character is brought to the future where he later operates a time machine to bring himself to the future
19,1942,All-Star Comics #10,,Justice Society of America use a time ray to travel 500 years into the future and get an effective bombing defence to protect America.
20,1946,Vintage Season,"""Lawrence O'Donnell"" (joint pseudonym of C. L. Moore andHenry Kuttner",Time travellers from the future experience wonderful seasons and spectacular events in the past.
21,1947,All-Star Comics #35,,"Villain Per Degaton murders a scientist who has invented a time machine and tries to use it to change history, causing modern technology from the Present, meaning he can then conquer America with technology protected from the effects."
22,1950,Pebble in the Sky,Isaac Asimov,A retired tailor from the mid-20th Century is accidentally pitched forward into the future
23,1951,The Gauntlet[disambiguation needed],Ronald Welch,"After putting on a gauntlet, a boy finds himself transported back to Wales in 1326"
24,1952,"""A Sound of Thunder""",Ray Bradbury,Changes in the past affect the future; part of the genealogy of the term Butterfly effect
25,1953,Bring the Jubilee,Ward Moore,A time traveller from an alternate reality appears at the Battle of Gettysburg and alters his own future into ours.
26,1954,Experiment,Fredric Brown,An experiment involving the time travel of a small brass cube results in disaster.[1]
27,1955,The End of Eternity,Isaac Asimov,Use time machines to transfer goods between centuries
28,1955,"""The Discovery of Morniel Mathaway""",William Tenn,"Historian returns to mid-20th century to study artist whose works he finds himself having to create, so the past is a product of the future's interest in the past."
29,1955–1995,"Time Patrol, plus 10 others",Poul Anderson,"Series of 11 novels related to the Time Patrol, an organization which protects the past."
30,1956,Extempore,Damon Knight,Man learns how to travel through time.
31,1956,Pawley's Peepholes,John Wyndham,Time travellers from the future disrupt life in a small town life by treating it as a quaint place for sightseeing.
32,1956,The Stars My Destination,Alfred Bester,"In a future in which self-teleportation is common, Gully Foyle discovers how to teleport himself through time as well."
33,1957,Wythnos yng Nghymru Fydd (A Week in the Wales of the Future),Islwyn Ffowc Elis,"A novel in the Welsh language, in which the narrator travels to Wales on two occasions in the year 2033 and encounters contrasting future scenarios each time."
34,1957,The Door into Summer,Robert A. Heinlein,"After thirty years trapped in suspended animation, a man uses a time machine to go back and exact revenge on his friend and fiancée for stealing his business."
35,1957,The Last Word,Damon Knight,Tale of Armageddon and the Devil.
36,1957,Soldier From Tomorrow,Harlan Ellison,A soldier comes back from the future to warn against the path toward global conflict.
37,1957,Double Indemnity,Robert Sheckley,Everett Barthold travels through time to find an ancestor lookalike who can be used to defraud an insurance company.
38,1958,The Men Who Murdered Mohammed,Alfred Bester,"Comedy in which a professor travels back in time to kill someone by killing their grandparent, but the results confound him. Explores many time travel scenarios in a short story format."
39,1959,—All You Zombies—,Robert A. Heinlein,Circular paradox – the hero is both his own mother and his own father; in addition he manipulates his younger self using a time machine to make his own birth happen.
40,1959,The Day We Explored the Future,Donald Keith,Boy Scouts find an abandoned time machine and visit the year 4000 AD. (First of a 23-story Time Machine series appearing 1959–1989 in Boys' Life.)
41,1960,The Weirdstone of Brisingamen,Alan Garner,"Colin and Susan go back in time in the caves of Alderley Edge in Cheshire – crystal bracelet, magic great wolf included."
42,1961,"Danny Dunn, Time Traveler",Raymond Abrashkin and Jay Williams,A couple of teenagers use their professor's time machine to study the history of the US.
43,1962,Fantastic Four vol 1 No. 19,Stan Lee and Jack Kirby,"The Fantastic Four travel to Ancient Egypt, and meet Pharaoh Rama-Tut, who is really another time traveller, from the 31st century. First appearance of Marvel Comics time-travelling villain Kang."
44,1963,The Other End of the Line,Walter Tevis,George Bletzo mistakenly call his own phone number and talks to his own person in a few months into the future. Predestination in play.
45,1964,Time Tunnel,Murray Leinster,Large immobile masses of iron in the earth's crust enable two-way travel between two points in the planet's history.
46,1964–present,Doctor Who,various authors,More than 530 original novels and novelisations based on the popular TV show.
47,1965,The Ship that Sailed the Time Stream,G. C. Edmondson,"Ensign Joe Rate, ""captain of a wooden ship in a predominantly atomic navy"", is transported, with his ship and crew, first back to the time of the Vikings, then to the time of the Romans."
48,1966,The Green Bronze Mirror,Lynne Ellison,"Teenage girl finds ancient mirror buried in sand, looks into it, is transported back in time to the Roman Empire – where she is mistaken for a runaway slave."
49,1966,The Man From When,Dannie Plachta,A man inadvertently destroys the world in order to travel back eighteen minutes in time.
50,1968,Hawksbill Station,Robert Silverberg,"A time machine is used by an oppressive government for deporting political prisoners a billion years in the past, to the Pre-Cambrian era."
51,1969,Slaughterhouse-Five,Kurt Vonnegut,A man is randomly traveling through time in his life jumping from one event to another in no particular order.
52,1969,Up the Line,Robert Silverberg,Time travel as guided tours to past historical events.
53,1969,The House on the Strand,Daphne du Maurier,Drug-induced trip back to 14th century Cornish Village.
54,1969,Behold the Man,Michael Moorcock,"A man travels in a time machine to 28 AD, hoping to meet the historical Jesus."
55,1970,Chronocules,D. G. Compton,A millionaire establishes a research village to experiment with time travel.
